"","filename","sti","ai","pi","min_ess"
"1","article_0_0_0_3_0_100.RDa",1,1,1,NA
"2","article_0_0_0_3_0_100.RDa",1,1,2,NA
"3","article_0_0_0_3_0_100.RDa",1,2,1,NA
"4","article_0_0_0_3_0_100.RDa",1,2,2,NA
"5","article_0_0_0_3_0_100.RDa",2,1,1,NA
"6","article_0_0_0_3_0_100.RDa",2,1,2,NA
"7","article_0_0_0_3_0_100.RDa",2,2,1,NA
"8","article_0_0_0_3_0_100.RDa",2,2,2,NA
"9","article_0_0_0_3_0_101.RDa",1,1,1,NA
"10","article_0_0_0_3_0_101.RDa",1,1,2,NA
"11","article_0_0_0_3_0_101.RDa",1,2,1,NA
"12","article_0_0_0_3_0_101.RDa",1,2,2,NA
"13","article_0_0_0_3_0_101.RDa",2,1,1,NA
"14","article_0_0_0_3_0_101.RDa",2,1,2,NA
"15","article_0_0_0_3_0_101.RDa",2,2,1,NA
"16","article_0_0_0_3_0_101.RDa",2,2,2,NA
"17","article_0_0_0_3_0_102.RDa",1,1,1,NA
"18","article_0_0_0_3_0_102.RDa",1,1,2,NA
"19","article_0_0_0_3_0_102.RDa",1,2,1,NA
"20","article_0_0_0_3_0_102.RDa",1,2,2,NA
"21","article_0_0_0_3_0_102.RDa",2,1,1,NA
"22","article_0_0_0_3_0_102.RDa",2,1,2,NA
"23","article_0_0_0_3_0_102.RDa",2,2,1,NA
"24","article_0_0_0_3_0_102.RDa",2,2,2,NA
"25","article_0_0_0_3_0_103.RDa",1,1,1,NA
"26","article_0_0_0_3_0_103.RDa",1,1,2,NA
"27","article_0_0_0_3_0_103.RDa",1,2,1,NA
"28","article_0_0_0_3_0_103.RDa",1,2,2,NA
"29","article_0_0_0_3_0_103.RDa",2,1,1,NA
"30","article_0_0_0_3_0_103.RDa",2,1,2,NA
"31","article_0_0_0_3_0_103.RDa",2,2,1,NA
"32","article_0_0_0_3_0_103.RDa",2,2,2,NA
"33","article_0_0_0_3_0_104.RDa",1,1,1,NA
"34","article_0_0_0_3_0_104.RDa",1,1,2,NA
"35","article_0_0_0_3_0_104.RDa",1,2,1,NA
"36","article_0_0_0_3_0_104.RDa",1,2,2,NA
"37","article_0_0_0_3_0_104.RDa",2,1,1,NA
"38","article_0_0_0_3_0_104.RDa",2,1,2,NA
"39","article_0_0_0_3_0_104.RDa",2,2,1,NA
"40","article_0_0_0_3_0_104.RDa",2,2,2,NA
"41","article_0_0_0_3_0_105.RDa",1,1,1,NA
"42","article_0_0_0_3_0_105.RDa",1,1,2,NA
"43","article_0_0_0_3_0_105.RDa",1,2,1,NA
"44","article_0_0_0_3_0_105.RDa",1,2,2,NA
"45","article_0_0_0_3_0_105.RDa",2,1,1,NA
"46","article_0_0_0_3_0_105.RDa",2,1,2,NA
"47","article_0_0_0_3_0_105.RDa",2,2,1,NA
"48","article_0_0_0_3_0_105.RDa",2,2,2,NA
"49","article_0_0_0_3_0_106.RDa",1,1,1,NA
"50","article_0_0_0_3_0_106.RDa",1,1,2,NA
"51","article_0_0_0_3_0_106.RDa",1,2,1,NA
"52","article_0_0_0_3_0_106.RDa",1,2,2,NA
"53","article_0_0_0_3_0_106.RDa",2,1,1,NA
"54","article_0_0_0_3_0_106.RDa",2,1,2,NA
"55","article_0_0_0_3_0_106.RDa",2,2,1,NA
"56","article_0_0_0_3_0_106.RDa",2,2,2,NA
"57","article_0_0_0_3_0_107.RDa",1,1,1,NA
"58","article_0_0_0_3_0_107.RDa",1,1,2,NA
"59","article_0_0_0_3_0_107.RDa",1,2,1,NA
"60","article_0_0_0_3_0_107.RDa",1,2,2,NA
"61","article_0_0_0_3_0_107.RDa",2,1,1,NA
"62","article_0_0_0_3_0_107.RDa",2,1,2,NA
"63","article_0_0_0_3_0_107.RDa",2,2,1,NA
"64","article_0_0_0_3_0_107.RDa",2,2,2,NA
"65","article_0_0_0_3_0_108.RDa",1,1,1,NA
"66","article_0_0_0_3_0_108.RDa",1,1,2,NA
"67","article_0_0_0_3_0_108.RDa",1,2,1,NA
"68","article_0_0_0_3_0_108.RDa",1,2,2,NA
"69","article_0_0_0_3_0_108.RDa",2,1,1,NA
"70","article_0_0_0_3_0_108.RDa",2,1,2,NA
"71","article_0_0_0_3_0_108.RDa",2,2,1,NA
"72","article_0_0_0_3_0_108.RDa",2,2,2,NA
"73","article_0_0_0_3_0_109.RDa",1,1,1,NA
"74","article_0_0_0_3_0_109.RDa",1,1,2,NA
"75","article_0_0_0_3_0_109.RDa",1,2,1,NA
"76","article_0_0_0_3_0_109.RDa",1,2,2,NA
"77","article_0_0_0_3_0_109.RDa",2,1,1,NA
"78","article_0_0_0_3_0_109.RDa",2,1,2,NA
"79","article_0_0_0_3_0_109.RDa",2,2,1,NA
"80","article_0_0_0_3_0_109.RDa",2,2,2,NA
"81","article_0_0_0_3_0_110.RDa",1,1,1,NA
"82","article_0_0_0_3_0_110.RDa",1,1,2,NA
"83","article_0_0_0_3_0_110.RDa",1,2,1,NA
"84","article_0_0_0_3_0_110.RDa",1,2,2,NA
"85","article_0_0_0_3_0_110.RDa",2,1,1,NA
"86","article_0_0_0_3_0_110.RDa",2,1,2,NA
"87","article_0_0_0_3_0_110.RDa",2,2,1,NA
"88","article_0_0_0_3_0_110.RDa",2,2,2,NA
"89","article_0_0_0_3_0_111.RDa",1,1,1,NA
"90","article_0_0_0_3_0_111.RDa",1,1,2,NA
"91","article_0_0_0_3_0_111.RDa",1,2,1,NA
"92","article_0_0_0_3_0_111.RDa",1,2,2,NA
"93","article_0_0_0_3_0_111.RDa",2,1,1,NA
"94","article_0_0_0_3_0_111.RDa",2,1,2,NA
"95","article_0_0_0_3_0_111.RDa",2,2,1,NA
"96","article_0_0_0_3_0_111.RDa",2,2,2,NA
"97","article_0_0_0_3_0_112.RDa",1,1,1,NA
"98","article_0_0_0_3_0_112.RDa",1,1,2,NA
"99","article_0_0_0_3_0_112.RDa",1,2,1,NA
"100","article_0_0_0_3_0_112.RDa",1,2,2,NA
"101","article_0_0_0_3_0_112.RDa",2,1,1,NA
"102","article_0_0_0_3_0_112.RDa",2,1,2,NA
"103","article_0_0_0_3_0_112.RDa",2,2,1,NA
"104","article_0_0_0_3_0_112.RDa",2,2,2,NA
"105","article_0_0_0_3_0_113.RDa",1,1,1,NA
"106","article_0_0_0_3_0_113.RDa",1,1,2,NA
"107","article_0_0_0_3_0_113.RDa",1,2,1,NA
"108","article_0_0_0_3_0_113.RDa",1,2,2,NA
"109","article_0_0_0_3_0_113.RDa",2,1,1,NA
"110","article_0_0_0_3_0_113.RDa",2,1,2,NA
"111","article_0_0_0_3_0_113.RDa",2,2,1,NA
"112","article_0_0_0_3_0_113.RDa",2,2,2,NA
"113","article_0_0_0_3_0_114.RDa",1,1,1,NA
"114","article_0_0_0_3_0_114.RDa",1,1,2,NA
"115","article_0_0_0_3_0_114.RDa",1,2,1,NA
"116","article_0_0_0_3_0_114.RDa",1,2,2,NA
"117","article_0_0_0_3_0_114.RDa",2,1,1,NA
"118","article_0_0_0_3_0_114.RDa",2,1,2,NA
"119","article_0_0_0_3_0_114.RDa",2,2,1,NA
"120","article_0_0_0_3_0_114.RDa",2,2,2,NA
"121","article_0_0_0_3_0_115.RDa",1,1,1,NA
"122","article_0_0_0_3_0_115.RDa",1,1,2,NA
"123","article_0_0_0_3_0_115.RDa",1,2,1,NA
"124","article_0_0_0_3_0_115.RDa",1,2,2,NA
"125","article_0_0_0_3_0_115.RDa",2,1,1,NA
"126","article_0_0_0_3_0_115.RDa",2,1,2,NA
"127","article_0_0_0_3_0_115.RDa",2,2,1,NA
"128","article_0_0_0_3_0_115.RDa",2,2,2,NA
"129","article_0_0_0_3_0_116.RDa",1,1,1,NA
"130","article_0_0_0_3_0_116.RDa",1,1,2,NA
"131","article_0_0_0_3_0_116.RDa",1,2,1,NA
"132","article_0_0_0_3_0_116.RDa",1,2,2,NA
"133","article_0_0_0_3_0_116.RDa",2,1,1,NA
"134","article_0_0_0_3_0_116.RDa",2,1,2,NA
"135","article_0_0_0_3_0_116.RDa",2,2,1,NA
"136","article_0_0_0_3_0_116.RDa",2,2,2,NA
"137","article_0_0_0_3_0_117.RDa",1,1,1,NA
"138","article_0_0_0_3_0_117.RDa",1,1,2,NA
"139","article_0_0_0_3_0_117.RDa",1,2,1,NA
"140","article_0_0_0_3_0_117.RDa",1,2,2,NA
"141","article_0_0_0_3_0_117.RDa",2,1,1,NA
"142","article_0_0_0_3_0_117.RDa",2,1,2,NA
"143","article_0_0_0_3_0_117.RDa",2,2,1,NA
"144","article_0_0_0_3_0_117.RDa",2,2,2,NA
"145","article_0_0_0_3_0_118.RDa",1,1,1,NA
"146","article_0_0_0_3_0_118.RDa",1,1,2,NA
"147","article_0_0_0_3_0_118.RDa",1,2,1,NA
"148","article_0_0_0_3_0_118.RDa",1,2,2,NA
"149","article_0_0_0_3_0_118.RDa",2,1,1,NA
"150","article_0_0_0_3_0_118.RDa",2,1,2,NA
"151","article_0_0_0_3_0_118.RDa",2,2,1,NA
"152","article_0_0_0_3_0_118.RDa",2,2,2,NA
"153","article_0_0_0_3_0_119.RDa",1,1,1,NA
"154","article_0_0_0_3_0_119.RDa",1,1,2,NA
"155","article_0_0_0_3_0_119.RDa",1,2,1,NA
"156","article_0_0_0_3_0_119.RDa",1,2,2,NA
"157","article_0_0_0_3_0_119.RDa",2,1,1,NA
"158","article_0_0_0_3_0_119.RDa",2,1,2,NA
"159","article_0_0_0_3_0_119.RDa",2,2,1,NA
"160","article_0_0_0_3_0_119.RDa",2,2,2,NA
"161","article_0_0_0_3_1_120.RDa",1,1,1,NA
"162","article_0_0_0_3_1_120.RDa",1,1,2,NA
"163","article_0_0_0_3_1_120.RDa",1,2,1,NA
"164","article_0_0_0_3_1_120.RDa",1,2,2,NA
"165","article_0_0_0_3_1_120.RDa",2,1,1,NA
"166","article_0_0_0_3_1_120.RDa",2,1,2,NA
"167","article_0_0_0_3_1_120.RDa",2,2,1,NA
"168","article_0_0_0_3_1_120.RDa",2,2,2,NA
"169","article_0_0_0_3_1_121.RDa",1,1,1,NA
"170","article_0_0_0_3_1_121.RDa",1,1,2,NA
